"Please Select","Please Select"
"to","to"
"Filter","Filter"
"Shop By","Shop By"
"Shopping Options","Shopping Options"
"Clear All","Clear All"
"Advanced Navigation Properties","Advanced Navigation Properties"
"Filter Type","Filter Type"
"Show Minimized","Show Minimized"
"No","No"
"Yes","Yes"
"Show Checkboxes","Show Checkboxes"
"Show Image Name","Show Image Name"
"Image Alignment","Image Alignment"
"Image Width in Pixels","Image Width in Pixels"
"Image Height in Pixels","Image Height in Pixels"
"Show Help Icon","Show Help Icon"
"Help Icon text","Help Icon text"
"Popup Width in Pixels","Popup Width in Pixels"
"Popup Height in Pixels","Popup Height in Pixels"
"Left","Left"
"Right","Right"
"Top","Top"
"Bottom","Bottom"
"Default","Default"
"Advanced Navigation","Advanced Navigation"
"White","White"
"Gray","Gray"
"Blue","Blue"
"Red","Red"
"Dropdown","Dropdown"
"Input","Input"
"Slider","Slider"
"Slider and Input","Slider and Input"
"Vertically","Vertically"
"Horizontally","Horizontally"
"2 columns","2 columns"
"Image","Image"
"Breadcrumbs","Breadcrumbs"
"Ajax","Ajax"
"Orange","Orange"
"Blue violet","Blue violet"
"Pale pink","Pale pink"
"Green","Green"
"Yellow","Yellow"
"Black","Black"
"Cone","Cone"
"Rectangle","Rectangle"
"Category","Category"
"%s - %s","%s - %s"
"Default option value is not defined.","Default option value is not defined."
"Loading, please wait...","Loading, please wait..."
"General","General"
"Filter Mode","Filter Mode"
"Filter View","Filter View"
"Background Color","Background Color"
"Buttons Color","Buttons Color"
"Help Icon View","Help Icon View"
"Slider Color","Slider Color"
"Slider Type","Slider Type"
"Popup Window Background","Popup Window Background"
"Category Filter","Category Filter"
"Use Category Filter","Use Category Filter"
"Show Minimized","Show Minimized"
"Ajax Window Settings","Ajax Window Settings"
"Show Ajax Loader Window","Show Ajax Loader Window"
"Ajax Loader View","Ajax Loader View"
"Image Alignment","Image Alignment"
"Border Color","Border Color"
"Widow Width","Widow Width"
"Widow Height","Widow Height"
"Ajax Loader Text","Ajax Loader Text"
"Remove Image","Remove Image"
"GoMage Advanced Navigation","GoMage Advanced Navigation"
"Navigation View","Navigation View"
"Menu Bar Navigation Settings","Menu Bar Navigation Settings"
"Category Settings (Left Column)","Category Settings (Left Column)"
"Category Settings (Right Column)","Category Settings (Right Column)"
"Ajax Window Settings","Ajax Window Settings"
"Activation Key","Activation Key"
"Select Websites","Select Websites"
"Please enter a valid key","Please enter a valid key"
"Please buy additional domains","Please buy additional domains"
"Menu Bar Navigation","Menu Bar Navigation"
"Background Color (for Plain)","Background Color (for Plain)"
"Left Column Navigation","Left Column Navigation"
"Navigation Type","Navigation Type"
"Show Category in Shop by","Show Category in Shop by"
"Category Column Color","Category Column Color"
"Image Width, px","Image Width, px"
"Popup Width, px","Popup Width, px"
"Popup Height, px","Popup Height, px"
"Show Reset Link","Show Reset Link"
"Left / Right Column Navigation","Left / Right Column Navigation"
