"An error occured while updating GeoIP database.","An error occured while updating GeoIP database."
"Can't create new file %s. Check if contained folder has write permissions.","Can't create new file %s. Check if contained folder has write permissions."
"Cannot extract database","Cannot extract database"
"Creating current database backup...","Creating current database backup..."
"DataBase source is temporary unavailable","DataBase source is temporary unavailable"
"Database Type","Database Type"
"Deleting temporary files...","Deleting temporary files..."
Done,Done
"Downloading database archive...","Downloading database archive..."
"GeoIP City","GeoIP City"
"GeoIP Country","GeoIP Country"
"GeoIP Database","GeoIP Database"
"GeoIP Extensions","GeoIP Extensions"
"Last update","Last update"
"MageWorx > GeoIP Extensions","MageWorx > GeoIP Extensions"
"MageWorx GeoIP extension: GeoIP.dat file is missing. Please, update the GeoIP database.","MageWorx GeoIP extension: GeoIP.dat file is missing. Please, update the GeoIP database."
"Remember that http://maxmind.com has limits on downloads of GeoIP database per day","Remember that http://maxmind.com has limits on downloads of GeoIP database per day"
"Starting update GeoIP database...","Starting update GeoIP database..."
"Uncompressing archive...","Uncompressing archive..."
"Update Database","Update Database"
