internal category,sort_order
Compatible Cartridges,1
Remanufactured Cartridges,2
Remanufactured / Compatible Cartridges,3
Premium Replacement: Made in the USA,4
Remanufactured / Compatible Drums,5
Remanufactured / Compatible Developer,6
Remanufactured / Compatible MICR Cartridges,7
Ribbon Cartridges,8
Solid Ink,9
3D Printer Filaments,10
Imaging Units,11
Developer,12
CIS,13
Refill Kits with Chip,14
Refill Kits with Tool,15
Refill Kits,16
Bulk Ink,17
Chips,18
Drum Kits,19
Other,20
All,21
Electronic,22
Cleaner,23
INKfinite,24
Refill Bottles,25
Combo Packs,26
Bulk Toner,27
Refill Accessories,28
Refill Machines,29
Label Tapes,30
Photo Paper,31
Labels,32
OEM Cartridges,33
OEM Combo Packs,34
OEM Drums,35
OEM Fusers,36
OEM Imaging Units,37
OEM Photoconductor Units,38
OEM Transfer Rollers,39
OEM Developer,40
OEM Toner Fusers,41
OEM Maintenance Kits,42
OEM Waste Containers,43
OEM Belt Unit,44
Printers,45
Edible Ink,46
Canon Edible Ink Printers,47
Epson Edible Ink Printers,48
CakePro Edible Ink Printers (Direct to Food),49
Canon Edible Ink Cartridges,50
Epson Edible Ink Cartridges,51
Brother Edible Ink Cartridges,52
CakePro Edible Ink Cartridges,53
Canon Edible Ink Refills,54
Epson Edible Ink Refills,55
Brother Edible Ink Refills,56
Premium Frosting Sheets,57
Frosting Sheets,58
Artisan Frosting Sheets,59
Premium Wafer Paper,60
Colored Frosting Sheets,61
Colored Wafer Paper,62
Cheese Sheets,63
Chocolate Transfer Sheets - unprinted,64
Chocolate Transfer Sheets - pre-printed,65
Edible Paper Cutters,66
Edible Ink Markers,67
Edible Airbrush Ink,68
Edible Airbrush Equipment,69
Chocolate Coating Products,70
Magnetic Molds,71
Silicone Molds,72
Candy Molds,73
Stencils,74
Chocolate Molds,75
Icing Colors,76
InkFlatables,77
Custom Printed Cookies,78
Custom Printed Cake Toppers,79
Custom Printed Marshmallows,80
Accessories,81
Gift Wrapping,82
Thermal Control,83
Cartridge Components,84
CD Repair,85
DVD Cases,86
USB Pens,87
USB Drives,88
